"Filename","Time","Frequency"
"P7132037_05",557881,28776
"P7132037_05",558137,20779
"P7132037_05",558372,16293
"P7132037_05",558458,24922
"P7132037_05",558567,41025
"P7132037_05",558694,33898
"P7132037_05",558780,37558
"P7132037_05",558931,33755
"P7132037_05",559017,33755
"P7132037_05",559168,33755
"P7132037_05",559340,24767
"P7132037_05",559469,26578
"P7132037_05",559579,33472
"P7132037_05",559773,26315
"P7132037_05",559991,19417
"P7132037_05",560251,16736
"P7132037_05",560377,20725
"P7132037_05",560575,24691
"P7132037_05",563008,NA
"P7132037_05",570570,NA
"P7132037_05",572006,NA
"P7132037_05",595311,NA
"P7132037_05",602594,NA
"P7132037_05",604615,NA
"P7132037_05",604880,NA
"P7132037_05",605258,12441
"P7132037_05",605649,10403
"P7132037_05",605947,11611
"P7132037_05",607514,4289
"P7132037_05",607858,4186
"P7132037_05",608064,14545
"P7132037_05",608235,21220
"P7132037_05",608451,20671
"P7132037_05",608673,18264
"P7132037_05",610165,4667
"P7132037_05",616726,NA
"P7132037_05",625234,NA
"P7132037_05",625454,NA
"P7132037_05",625975,10796
"P7132037_05",627487,NA
"P7132037_05",627775,4444
"P7132037_05",628066,13816
"P7132037_05",628426,12288
"P7132037_05",628791,11034
"P7132037_05",637383,NA
"P7132037_05",639731,NA
"P7132037_05",640021,NA
"P7132037_05",640262,15065
"P7132037_05",640728,11315
"P7132037_05",642412,NA
"P7132037_05",642684,4089
"P7132037_05",642998,13651
"P7132037_05",643361,11816
"P7132037_05",643740,10781
"P7132037_05",682197,NA
"P7132037_05",682833,NA
"P7132037_05",685552,NA
"P7132037_05",692243,NA
"P7132037_05",692981,NA
"P7132037_05",698485,NA
"P7132037_05",698844,NA
"P7132037_05",701769,NA
"P7132037_05",706568,NA
"P7132037_05",719382,NA
"P7132037_05",724616,NA
"P7132037_05",727856,NA
"P7132037_05",732741,NA
"P7132037_05",755524,NA
"P7132037_05",756306,NA
"P7132037_05",789228,NA
"P7132037_05",795225,NA
"P7132037_05",800256,NA
"P7132037_05",870252,NA
"P7132037_05",894611,NA
"P7132037_05",934161,NA
"P7132037_05",934750,NA
"P7132037_05",936154,4014
"P7132037_05",937058,NA
"P7132037_05",950161,NA
"P7132037_05",1010133,NA
