Filename,Time,Frequency,Pulse
P7172141.26#,2.5680150000000075,37123.16968132235,12
P7172141.26#,2.5681230000000075,37209.30232560663,12
P7172141.26#,2.5682300000000073,37209.30232560663,12
P7172141.26#,2.5683380000000073,37209.30232560663,12
P7172141.26#,2.568445000000007,37123.16968132235,12
P7172141.26#,2.568553000000007,37037.03703703807,12
P7172141.26#,2.568661000000007,37037.03703703807,12
P7172141.26#,2.568769000000007,37037.03703703807,12
P7172141.26#,2.568877000000007,36697.24770645073,12
P7172141.26#,2.568985000000007,36199.095022656424,12
P7172141.26#,2.6804260000000073,39408.86699508297,13
P7172141.26#,2.680527000000007,39800.9950248523,13
P7172141.26#,2.6806290000000073,39800.9950248523,13
P7172141.26#,2.6807280000000073,39508.340649672115,13
P7172141.26#,2.6808300000000074,39215.68627449193,13
P7172141.26#,2.6809320000000074,39215.68627449193,13
P7172141.26#,2.6810340000000075,39215.68627449193,13
P7172141.26#,2.6811360000000075,39215.68627449193,13
P7172141.26#,2.6812390000000077,39215.68627449193,13
P7172141.26#,2.6813400000000076,38647.342995156345,13
P7172141.26#,2.681443000000008,38834.95145632417,13
P7172141.26#,2.6815470000000077,39024.39024385813,13
P7172141.26#,2.6816490000000077,38647.342995156345,13
P7172141.26#,2.681752000000008,38461.53846158212,13
P7172141.26#,2.681856000000008,38461.53846158212,13
P7172141.26#,2.6819600000000077,38647.342995156345,13
P7172141.26#,2.6820640000000076,38461.53846149999,13
P7172141.26#,2.6821670000000077,38095.238095230205,13
P7172141.26#,2.6822720000000078,38277.51196174012,13
P7172141.26#,2.682377000000008,38277.51196174012,13
P7172141.26#,2.6824810000000077,38186.37502848516,13
P7172141.26#,2.6825860000000077,38186.37502848516,13
P7172141.26#,2.682692000000008,38095.238095230205,13
P7172141.26#,2.6827960000000077,38004.96501916261,13
P7172141.26#,2.682902000000008,38004.96501916261,13
P7172141.26#,2.683008000000008,37914.69194309503,13
P7172141.26#,2.683113000000008,37735.84905654627,13
P7172141.26#,2.6832190000000082,37825.27049986017,13
P7172141.26#,2.6833250000000084,37735.84905662532,13
P7172141.26#,2.6834320000000083,37735.84905662532,13
P7172141.26#,2.6835370000000083,37647.2672513157,13
P7172141.26#,2.683644000000008,37647.2672513157,13
P7172141.26#,2.683751000000008,37558.685446006086,13
P7172141.26#,2.683857000000008,37470.93150807472,13
P7172141.26#,2.683964000000008,37383.17757014334,13
P7172141.26#,2.684071000000008,37296.23994787499,13
P7172141.26#,2.6841780000000077,37209.30232560663,13
P7172141.26#,2.6842860000000077,37209.30232560663,13
P7172141.26#,2.6843930000000076,37209.30232560663,13
P7172141.26#,2.6845000000000074,37209.30232560663,13
P7172141.26#,2.6846080000000074,37209.30232560663,13
P7172141.26#,2.6847150000000073,37037.83088629426,13
P7172141.26#,2.6848230000000073,36866.359446981885,13
P7172141.26#,2.6849320000000074,36866.359446981885,13
P7172141.26#,2.6850400000000074,36866.359446981885,13
P7172141.26#,2.6851480000000074,36866.359446981885,13
P7172141.26#,2.6852570000000076,36866.359446981885,13
P7172141.26#,2.6853650000000076,36866.359446981885,13
P7172141.26#,2.6854740000000077,36866.359446981885,13
P7172141.26#,2.6855820000000077,36781.803576678925,13
P7172141.26#,2.685691000000008,36697.24770637597,13
P7172141.26#,2.685800000000008,36697.24770637597,13
P7172141.26#,2.685909000000008,36697.24770637597,13
P7172141.26#,2.6860180000000082,36613.46403583896,13
P7172141.26#,2.6861270000000084,36529.68036530194,13
P7172141.26#,2.686237000000008,36529.68036530194,13
P7172141.26#,2.6863460000000083,36529.68036530194,13
P7172141.26#,2.686456000000008,36529.68036530194,13
P7172141.26#,2.686566000000008,36529.68036530194,13
P7172141.26#,2.686675000000008,36446.65836446014,13
P7172141.26#,2.686785000000008,36446.65836446014,13
P7172141.26#,2.686896000000008,36363.636363618345,13
P7172141.26#,2.687005000000008,36199.095022656424,13
P7172141.26#,2.687116000000008,36363.63636369175,13
P7172141.26#,2.687226000000008,36199.095022656424,13
P7172141.26#,2.6873360000000077,36036.03603604505,13
P7172141.26#,2.6874470000000077,36199.095022656424,13
P7172141.26#,2.6875580000000077,36036.03603604505,13
P7172141.26#,2.6876680000000075,35874.43946186986,13
P7172141.26#,2.6877800000000076,36036.03603604505,13
P7172141.26#,2.6878910000000076,36199.095022656424,13
P7172141.26#,2.6880020000000076,36363.63636369175,13
P7172141.26#,2.6881120000000074,36529.68036530194,13
P7172141.26#,2.688222000000007,36363.636363618345,13
P7172141.26#,2.6883310000000074,36363.636363618345,13
P7172141.26#,2.6884420000000073,36529.68036530194,13
P7172141.26#,2.6885510000000075,36199.095022656424,13
P7172141.26#,2.8959820000000076,44198.89502762755,14
P7172141.26#,2.8960720000000078,43715.846994577994,14
P7172141.26#,2.8961630000000076,43243.24324321946,14
P7172141.26#,2.8962550000000076,43010.75268811619,14
P7172141.26#,2.8963480000000077,42780.74866311597,14
P7172141.26#,2.896441000000008,42328.04232809324,14
P7172141.26#,2.8965350000000076,41884.81675391525,14
P7172141.26#,2.8966300000000076,41450.77720209666,14
P7172141.26#,2.8967260000000077,41237.11340215041,14
P7172141.26#,2.8968230000000075,41025.64102569927,14
P7172141.26#,2.8969200000000073,40609.137055837,14
P7172141.26#,2.897018000000007,40404.04040401132,14
P7172141.26#,2.8971170000000073,40201.0050250686,14
P7172141.26#,2.8972160000000073,39999.999999915584,14
P7172141.26#,2.8973160000000076,39800.9950248523,14
P7172141.26#,2.8974160000000078,39603.96039607618,14
P7172141.26#,2.8975170000000077,39408.86699508297,14
P7172141.26#,2.8976180000000076,39215.68627449193,14
P7172141.26#,2.8977200000000076,39024.39024385813,14
P7172141.26#,2.8978220000000077,39024.39024385813,14
P7172141.26#,2.897925000000008,38835.86661950724,14
P7172141.26#,2.898027000000008,38835.86661950724,14
P7172141.26#,2.898131000000008,38647.342995156345,14
P7172141.26#,2.898234000000008,38554.44072836923,14
P7172141.26#,2.898338000000008,38461.53846158212,14
